employerName,jobUrl,employerProfileId,applications,employerId,jobId,employerProfileName,jobTitle,maximumSalary,expirationDate,date,minimumSalary,currency,jobDescription,locationName
Savills,https://www.reed.co.uk/jobs/data-analyst/54554960,,257,662630,54554960,,Data Analyst,,11/04/2025,28/02/2025,,,"Role Overview We are seeking a detail-oriented and analytical Researcher/Market Analyst to join our Savills Earth team. The ideal candidate will be responsible for conducting in-depth market research, analysing industry trends, and providing insights that will help guide strategic business decisions. &nbsp;&nbsp; Click here to download the full job specification. Please ensure you read this before applying. What we offer you: Career and Professi... ",W1G0JD
Sagacity ,https://www.reed.co.uk/jobs/data-analyst/54606079,,573,510736,54606079,,Data Analyst,,25/04/2025,07/03/2025,,,"Principal responsibilities will involve: Turn large quantities of complex client data into insights which can be used to inform decision making and drive business benefit Are quick to identify incomplete and diverse data sets, pin pointing data issues which may affect the accuracy and completeness of any analysis performed Recognise the importance and value of understanding the data they are analysing, validating the information provided and rec... ",EC1N2TD
Matchtech ,https://www.reed.co.uk/jobs/automation-data-analyst/54665265,,6,437172,54665265,,Automation Data Analyst,50000.0,29/04/2025,18/03/2025,45000.0,GBP,"Our client, a leading engineering and maintenance provider in the energy sector, is seeking a highly skilled and motivated Automation Data Analyst to join their team in Warrington. Our client supports the efficiency of assets across various markets, enhancing availability and reducing maintenance costs. Key Responsibilities: Collect, process, and analyse large datasets to identify trends, patterns, and insights Generate reports, dashboards, and ... ",WA36UT
QA,https://www.reed.co.uk/jobs/data-analyst-apprentice/54636069,,25,500373,54636069,,Data Analyst Apprentice,19000.0,23/04/2025,12/03/2025,17000.0,GBP,"Employer description:&nbsp; Outserve Limited is a UK-based team of experts who offer software implementation, integration, automation, and accounting services for small to medium enterprises. We help clients grow and scale their business with data-driven decisions.&nbsp; Overview:&nbsp; As part of their learning, the Data Analyst Apprentice will be involved with analysing financial data, identifying trends and creating models that present result... ",ST163EL
Compass Group UK & Ireland Ltd,https://www.reed.co.uk/jobs/junior-data-analyst/54664918,,14,387512,54664918,,Junior Data Analyst,,29/04/2025,18/03/2025,,,"Junior Data Analyst — Foodbuy Foodbuy is a leading food procurement organisation based in the UK. With over 1 billion of managed spend, we bring together the widest range of foodservice and hospitality clients to buy food and everything associated with it. We work closely with our clients to deliver expert procurement services, saving them time and money and enabling them to focus on what really matters to their businesses. We are offering an ex... ",KT169BQ
QA,https://www.reed.co.uk/jobs/data-analyst-apprentice/54500125,,64,500373,54500125,,Data Analyst Apprentice,20800.0,01/04/2025,18/02/2025,20800.0,GBP,"Ringway: Together with our associated companies, Ringway teams are responsible for looking after over 50,000 kms of the UK’s highways network – we deliver specialist highway services across the largest highways maintenance portfolio within the UK, including strategic road network, DBFO motorway and trunk roads, and the local authority network. We are private sector partners, dedicated to delivering public services. We offer best practice mainten... ",GU47BQ
SGN,https://www.reed.co.uk/jobs/data-insight-analyst/54499273,,94,558777,54499273,,Data Insight Analyst ,53800.0,18/03/2025,18/02/2025,43000.0,GBP,Location: Portsmouth Salary: 43k - 53.8k per annum (Dependent on skills &amp; qualifications) Perks &amp; Benefits: Competitive pension scheme - Enhanced maternity/paternity pay - Life assurance - HolidayPlus - Cycle2work Scheme &amp; more We are looking for…. We are looking for a passionate and innovative Data Insight Analyst who has a deep understanding of both data analytics and business dynamics. We’re all about empowering our business with ... ,Portsmouth
Howdens Joinery,https://www.reed.co.uk/jobs/sustainability-data-analyst/54477959,,79,493222,54477959,,Sustainability Data Analyst,,27/03/2025,13/02/2025,,,"Join the UK’s leading Trade Kitchen Supplier as a Sustainability Data Analyst based in our Howden in East Riding office of Yorkshire with a blend of home and office working.&nbsp; This is an exciting opportunity to make your mark in this hands-on analytical role.&nbsp; In this role you will provide central oversight of ESG data (primarily climate related emissions) to the Sustainability team, key stakeholders and external organisations who work ... ",Howden
Toyota Financial Services & KINTO UK,https://www.reed.co.uk/jobs/data-analyst-sql/54598617,,202,627855,54598617,,Data Analyst - SQL,,17/04/2025,06/03/2025,,,"We are looking for an experienced and technical Data Analyst, with a specific skills set to join our existing data team. We are looking for an individual with Data Engineering skills who has the ability to map business requirements to technical requirements. The individual must have strong SQL, and have proven experience of interrogate raw data through to manipulation. Confident to write in SQL About the department: Data Services is utilised thr... ",KT198AJ
Dreams Ltd,https://www.reed.co.uk/jobs/bi-data-analyst/54588925,,113,404912,54588925,,BI & Data Analyst,,16/04/2025,05/03/2025,,,"At Dreams, we know your bed is the best place in the whole world. But for the hours between precious sleep, we`d like to make work a special place to be too. We`re the UK`s most loved bed retailer, so it`s important our people feel the love as well. There`s over 250 of us at our affectionally named `Bedquarters` in High Wycombe, Buckinghamshire, where every dreamer makes a difference. We`re super passionate about our people-first culture, which ... ",HP109YU
Calor Gas Limited,https://www.reed.co.uk/jobs/data-analyst-credit-management/54657636,,20,570005,54657636,,Data Analyst - Credit Management,,28/04/2025,17/03/2025,,,"Data Analyst – Credit ManagementLocation: Tachbrook Park, Warwick Are you passionate about data-driven decision-making and optimising financial performance? We are looking for a Data Analyst to join our Credit Management team at Tachbrook Park, Warwick. This is a fantastic opportunity to shape strategy, drive insights, and improve processes through robust reporting and data analysis. About the Role: As a Data Analyst in Credit Management, you wi... ",Warwick
Calisen Metering,https://www.reed.co.uk/jobs/senior-data-analyst-water/54480660,,102,408300,54480660,,Senior Data Analyst - Water,700.0,27/03/2025,13/02/2025,550.0,GBP,"Calisen is at the forefront of energy and utility innovation. As we expand our capabilities in managing SMART water meters, we're seeking a highly skilled Senior Data Analyst to lead the design and development of robust processes, systems, and data strategies that support operational excellence. If you're passionate about data, thrive in dynamic environments, and want to shape the future of utilities, this is the opportunity for you. The Role: A... ",M21HW
 Peoples Partnership,https://www.reed.co.uk/jobs/senior-data-governance-analyst/54586608,,30,442552,54586608,,Senior Data Governance Analyst,44000.0,16/04/2025,05/03/2025,35000.0,GBP,"About People’s Partnership: At the heart of our not-for-profit organisation is a commitment and a motivation to make the future-saving experience a simple one for our members. We champion fairness and simplicity, not profit-chasing. Imagine a financial adventure where everyone's a winner, fueled by our exceptional service and brought to life by the fantastic individuals who work for us. We're a diverse employer with a flexible, hybrid working ap... ",RH109AD
