employerName,jobUrl,employerProfileId,applications,employerId,jobId,employerProfileName,jobTitle,maximumSalary,expirationDate,date,minimumSalary,currency,jobDescription,locationName
SGN,https://www.reed.co.uk/jobs/damage-billing-analyst/54633439,,4,558777,54633439,,Damage Billing Analyst,34800.0,02/04/2025,12/03/2025,29000.0,GBP,"We are looking for…. An exciting opportunity to join a cutting-edge company which takes pride in serving 6m customers keeping them safe and warm every day. As the Damaged Billing Analyst at SGN you will be responsible for ensuring billing is completed in a timely and accurate manner, to ensure we maximise cost recoveries within deadlines, and to determine and support the month end procedures and reporting. We deliver safety, warmth, and comfort ... ",Glasgow
SGN,https://www.reed.co.uk/jobs/general-finance-analyst/54633397,,9,558777,54633397,,General Finance Analyst,34800.0,02/04/2025,12/03/2025,29000.0,GBP,"We are looking for…. An exciting opportunity to join a cutting-edge company which takes pride in serving 6m customers keeping them safe and warm every day. As the General Finance Analyst at SGN you will work across Accounts Payable (AP), Accounts Receivable (AR) and Payroll, and will be responsible for managing the processing of Accounts Payable, Order to Cash and Payroll transactions. We deliver safety, warmth, and comfort to homes and business... ",Glasgow
Meraki Talent Limited,https://www.reed.co.uk/jobs/data-analyst/54582414,,145,487981,54582414,,Data Analyst,500.0,04/04/2025,04/03/2025,400.0,GBP,"Data Analyst Competitive Day Rate 6 Month Contract (Inside IR35) Edinburgh – 2 Days in office per week Start Date: ASAP CVs by: ASAP &nbsp;&nbsp; Meraki Talent is working with a globally renowned financial institution to recruit a Data Analyst. This role sits within the Non-Financial Risk&nbsp; function, supporting key initiatives to enhance risk controls and improve operational efficiency across the organization. &nbsp;&nbsp; This role is part ... ",Edinburgh
Hays Specialist Recruitment Limited,https://www.reed.co.uk/jobs/data-analyst/54497065,,132,524744,54497065,,Data Analyst,40000.0,01/04/2025,18/02/2025,40000.0,GBP,"Your new company Join a renowned Public Sector organisation based in Glasgow. They are embarking on an exciting digital transformation journey and implementing new systems to enhance their operations. Your new role You will be responsible for ensuring data integrity, overseeing data migration, and managing reporting and analytics within the project. The ideal candidate will collaborate closely with stakeholders across the organisation. What you'... ",Glasgow
Search,https://www.reed.co.uk/jobs/data-analyst/54518182,,127,412078,54518182,,Data Analyst,40000.0,21/03/2025,21/02/2025,30000.0,GBP,"Job Title: Data Analyst - Strategy &amp; Development Team Location: Edinburgh - FULLY OFFICE BASED Salary: 30,000 - 40,000 per annum Contract: 3-6 months initially Unlock Your Potential with an Exciting Analyst Role! Are you a highly numerate, data-driven professional with a passion for Excel modelling? Do you thrive in turning complex datasets into actionable insights that drive strategic decision-making? If so, we have an exciting opportunity ... ",EH221AA
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-data-analyst/54648107,,61,582327,54648107,,Trainee Data Analyst ,50000.0,25/04/2025,14/03/2025,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",United Kingdom
ITOL Recruitment,https://www.reed.co.uk/jobs/data-analyst-trainee/51853182,,244,582327,51853182,,Data Analyst Trainee,50000.0,22/04/2025,27/12/2023,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",G11AB
ITOL Recruitment,https://www.reed.co.uk/jobs/data-analyst-trainee/51854986,,221,582327,51854986,,Data Analyst Trainee,50000.0,22/04/2025,28/12/2023,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",EH88BG
Newto Training,https://www.reed.co.uk/jobs/trainee-data-analyst/54616003,,29,659815,54616003,,Trainee Data Analyst,,21/04/2025,10/03/2025,,,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of 58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new career in Data Analysis ... ",United Kingdom
Newto Training,https://www.reed.co.uk/jobs/trainee-data-analyst/54615950,,21,659815,54615950,,Trainee Data Analyst,,21/04/2025,10/03/2025,,,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of 58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new career in Data Analysis ... ",United Kingdom
ITOL Recruitment,https://www.reed.co.uk/jobs/data-analyst-trainee/54647852,,28,582327,54647852,,Data Analyst Trainee,50000.0,25/04/2025,14/03/2025,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",United Kingdom
Newto Training,https://www.reed.co.uk/jobs/data-analyst-trainee/54616023,,31,659815,54616023,,Data Analyst Trainee,,21/04/2025,10/03/2025,,,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of 58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new career in Data Analysis ... ",United Kingdom
Search,https://www.reed.co.uk/jobs/data-analyst-retail/54540778,,66,412078,54540778,,Data Analyst - Retail,60000.0,26/03/2025,26/02/2025,35000.0,GBP,"Job Title: Data Analyst - Strategy &amp; Development Team Location: Edinburgh - FULLY OFFICE BASED Salary: 45,000 - 60,000 per annum Contract: 3-6 months initially Unlock Your Potential with an Exciting Analyst Role! Are you a highly numerate, data-driven professional with a passion for Excel modelling? Do you thrive in turning complex datasets into actionable insights that drive strategic decision-making? If so, we have an exciting opportunity ... ",EH181EH
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-data-analyst/54647921,,36,582327,54647921,,Trainee Data Analyst ,50000.0,25/04/2025,14/03/2025,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",United Kingdom
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-data-analyst/54655288,,34,582327,54655288,,Trainee Data Analyst ,50000.0,28/04/2025,17/03/2025,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",United Kingdom
ITOL Recruitment,https://www.reed.co.uk/jobs/data-analyst-trainee/51996667,,88,582327,51996667,,Data Analyst Trainee,50000.0,22/04/2025,23/01/2024,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",AB115BU
IT Career Switch,https://www.reed.co.uk/jobs/junior-data-analyst/54492137,,323,598528,54492137,,Junior Data Analyst,45000.0,31/03/2025,17/02/2025,25000.0,GBP,Trainee Data Analyst - No Experience Required Are you looking to kick-start a new career as a Data Analyst? We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee ( 25K- 45K) within 20 miles of your location upon completion. Whet... ,United Kingdom
Regal Brooke Limited,https://www.reed.co.uk/jobs/junior-investment-data-analyst/54160570,,201,671353,54160570,, Junior Investment Data Analyst ,34000.0,17/04/2025,11/12/2024,32000.0,GBP,"Junior Investment Data Analyst Location: London, UK Type: Full-Time About Us: Join a leading investment firm in the heart of London, where data drives our decisions. We are committed to fostering a culture of excellence and innovation, and we are currently seeking a talented and motivated Investment Data Analyst to join our dynamic team. This entry-level position is designed for recent graduates eager to kickstart their careers in finance, provi... ",G128QQ
Regal Brooke Limited,https://www.reed.co.uk/jobs/junior-investment-data-analyst/54160563,,200,671353,54160563,, Junior Investment Data Analyst ,34000.0,17/04/2025,11/12/2024,32000.0,GBP,"Junior Investment Data Analyst Location: London, UK Type: Full-Time About Us: Join a leading investment firm in the heart of London, where data drives our decisions. We are committed to fostering a culture of excellence and innovation, and we are currently seeking a talented and motivated Investment Data Analyst to join our dynamic team. This entry-level position is designed for recent graduates eager to kickstart their careers in finance, provi... ",EH89YL
