employerName,jobUrl,employerProfileId,applications,employerId,jobId,employerProfileName,jobTitle,maximumSalary,expirationDate,date,minimumSalary,currency,jobDescription,locationName
Sopra Steria,https://www.reed.co.uk/jobs/infrastructure-support-analyst/54627848,,23,616491,54627848,, Infrastructure Support Analyst,25000.0,22/04/2025,11/03/2025,24000.0,GBP,"Kickstart Your IT Career as an Infrastructure Support Analyst! Are you eager to break into the world of Infrastructure &amp; Cyber Security? If so, this could be the perfect role for you! We are offering an exciting entry-level opportunity for a motivated and enthusiastic individual to join our IT Infrastructure Team as an Infrastructure Monitoring Analyst. No prior experience is required—just a basic understanding of computing and a passion for... ",NP108FZ
South Wales Police,https://www.reed.co.uk/jobs/ict-database-analyst/54596854,,10,657047,54596854,,ICT Database Analyst,40893.0,17/04/2025,06/03/2025,35526.0,GBP,"Job Title: ICT Database Analyst Location : South Wales Police Headquarters, Bridgend, Wales Salary : 35,526 - 40,893 p/a Job Type: Full time / Contract (2-year Fixed Term Contract) About Us: South Wales Police is the largest police force in Wales, serving a population of approximately 1.3 million people across an area of 2,117 square miles. We are dedicated to keeping our communities safe and secure, and we rely on cutting-edge technology to sup... ",Bridgend
Gingerkid Executive Search,https://www.reed.co.uk/jobs/data-analyst/54629835,,74,485910,54629835,,Data Analyst,50000.0,23/04/2025,12/03/2025,40000.0,GBP,"What You’ll Be Doing… You will work closely with the Managing Director and other senior leaders to collect, analyse and interpret data across the business, developing insights, dashboards and reporting solutions that inform strategic decisions. By tracking key performance indicators (KPIs) and identifying trends, you will enhance performance, efficiency and revenue growth while supporting business intelligence, operational improvements, customer... ",CF101AA
ITOL Recruitment,https://www.reed.co.uk/jobs/data-analyst-trainee/51862855,,208,582327,51862855,,Data Analyst Trainee,50000.0,21/04/2025,01/01/2024,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",CF103ND
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-data-analyst/54648107,,61,582327,54648107,,Trainee Data Analyst ,50000.0,25/04/2025,14/03/2025,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",United Kingdom
Newto Training,https://www.reed.co.uk/jobs/trainee-data-analyst/54616003,,29,659815,54616003,,Trainee Data Analyst,,21/04/2025,10/03/2025,,,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of 58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new career in Data Analysis ... ",United Kingdom
Newto Training,https://www.reed.co.uk/jobs/trainee-data-analyst/54615950,,21,659815,54615950,,Trainee Data Analyst,,21/04/2025,10/03/2025,,,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of 58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new career in Data Analysis ... ",United Kingdom
ITOL Recruitment,https://www.reed.co.uk/jobs/data-analyst-trainee/51927375,,84,582327,51927375,,Data Analyst Trainee,50000.0,15/04/2025,10/01/2024,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",SA13SN
ITOL Recruitment,https://www.reed.co.uk/jobs/data-analyst-trainee/54647852,,28,582327,54647852,,Data Analyst Trainee,50000.0,25/04/2025,14/03/2025,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",United Kingdom
Newto Training,https://www.reed.co.uk/jobs/data-analyst-trainee/54616023,,31,659815,54616023,,Data Analyst Trainee,,21/04/2025,10/03/2025,,,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of 58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new career in Data Analysis ... ",United Kingdom
