employerName,jobUrl,employerProfileId,applications,employerId,jobId,employerProfileName,jobTitle,maximumSalary,expirationDate,date,minimumSalary,currency,jobDescription,locationName
Sagacity ,https://www.reed.co.uk/jobs/data-analyst/54606079,,573,510736,54606079,,Data Analyst,,25/04/2025,07/03/2025,,,"Principal responsibilities will involve: Turn large quantities of complex client data into insights which can be used to inform decision making and drive business benefit Are quick to identify incomplete and diverse data sets, pin pointing data issues which may affect the accuracy and completeness of any analysis performed Recognise the importance and value of understanding the data they are analysing, validating the information provided and rec... ",EC1N2TD
Atom Bank,https://www.reed.co.uk/jobs/pricing-analyst/54547650,,30,666122,54547650,,Pricing Analyst,32000.0,10/04/2025,27/02/2025,28000.0,GBP,"We’re Atom… The bank that's leading the fintech charge! We’re not like the rest. We’re true innovators, and we’re redefining what a bank should be. Ours is a bank for today and the future, a mobile-first bank. Forget the stuffy branches, with Atom you can bank whenever, wherever, faster, and simpler. Could you be the next innovator to join us? Please note this role requires weekly office presence, only apply if you are based in the North-East of... ",DH15TS
Atom Bank,https://www.reed.co.uk/jobs/model-validation-analyst/54494291,,32,666122,54494291,,Model Validation Analyst,55000.0,31/03/2025,17/02/2025,45000.0,GBP,"We’re Atom… The bank that's leading the fintech charge! We’re not like the rest. We’re true innovators, and we’re redefining what a bank should be. Ours is a bank for today and the future, a mobile-first bank. Forget the stuffy branches, with Atom you can bank whenever, wherever, faster, and simpler. Could you be the next innovator to join us? What will your typical day look like? Different that’s for sure… As a Model Validation Analyst, you’ll ... ",DH15TS
Sagacity ,https://www.reed.co.uk/jobs/data-scientist/54606087,,142,510736,54606087,,Data Scientist,,25/04/2025,07/03/2025,,,"As part of the Analytics Team, you will work closely with the Data &amp; Analytics Manager and other colleagues across data strategy, sales, account management and marketing. You will be supported by colleagues with a range of industry and technical experience, working on projects to help our clients apply data analysis and insight to their data-driven marketing campaigns. Principal responsibilities will involve: Provide marketing insights (mark... ",EC1N2TD
Vitality,https://www.reed.co.uk/jobs/senior-actuarial-analyst-health-pricing/54545477,,8,501640,54545477,,Senior Actuarial Analyst Health Pricing,,27/03/2025,27/02/2025,,,"About The Role Team – &nbsp;Pricing and Underwriting- Health Working Pattern - Hybrid – 2&nbsp;days per week in either the Bournemouth or London Vitality Offices.&nbsp;Full time hours. Top 3 skills needed for this role: Excellent analytical skills - high IQ and aptitude with numbers, Proficient with Excel and ideally also coding (python, R, SQL, VBA etc) Management of self and stakeholders What this role is all about: Vitality is a new generatio... ",BH26EP
TELUS International AI Inc,https://www.reed.co.uk/jobs/remote-search-analyst-english-uk/54529952,,322,685682,54529952,,Remote Search Analyst English (UK),,08/04/2025,25/02/2025,,,"Ready to say goodbye to the boring, traditional 9-5 routine and embrace a dynamic and exciting work environment that puts you in control? If you are an iOS device user who has a passion for Music, Video, and Apple products, this opportunity offers you the flexibility to set your own schedule and complete exciting tasks using an innovative web-based evaluation tool! A Day in the Life of a Media Search Analyst: In this role, you will be doing a co... ",EC2N1HQ
Equiniti,https://www.reed.co.uk/jobs/payroll-implementation-analyst-12-month-ftc/54472291,,62,452448,54472291,,Payroll Implementation Analyst 12 month FTC,,26/03/2025,12/02/2025,,,"Equiniti is a leading international provider of shareholder, pension, remediation, and credit technology. With over 6000 employees, it supports 37 million people in 120 countries. EQ's vision is to be the leading global share registrar, offering complementary services to its client base and our values set the core foundations to our success. We are TRUSTED to deliver on our commitments, COMMERCIAL in building long term value, COLLABORATIVE in ou... ",Crawley
Adria Solutions,https://www.reed.co.uk/jobs/data-analyst/54664261,,35,302092,54664261,,Data Analyst,50000.0,29/04/2025,18/03/2025,35000.0,GBP,"Data Analyst – Fully Remote – Financial &amp; Technology Sectors My client is looking for a Data Analyst to join their team and support data-driven decision-making across Technology, Finance, Operations, and Product. This role is perfect for a self-motivated, analytical thinker who enjoys solving business challenges with data. Key Responsibilities: Reporting &amp; Data Automation Develop and maintain automated reports and dashboards to support b... ",Nottingham
Adecco ,https://www.reed.co.uk/jobs/data-analyst/54478353,,770,563845,54478353,,Data Analyst,235.74,27/03/2025,13/02/2025,235.0,GBP,"Data Analyst required to work within a Government Organisation. This is an initial 3 month contract, paying 235 a day, inside IR35, hybrid working. Job Description: Data Analysis and Reporting: o Analyse and compare the performance and practices of services across the United Kingdom. o Produce several comprehensive reports and presentations. Trends and Benchmarking Report: o Develop a detailed report analysing and comparing the performance and p... ",London
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-data-analyst/54648107,,61,582327,54648107,,Trainee Data Analyst ,50000.0,25/04/2025,14/03/2025,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",United Kingdom
