employerProfileName,currency,minimumSalary,maximumSalary,employerName,jobId,jobDescription,jobTitle,employerId,employerProfileId,locationName,applications,jobUrl,expirationDate,date,job_position,location,latitude,longitude
,,,,Savills,54554960,"Role Overview We are seeking a detail-oriented and analytical Researcher/Market Analyst to join our Savills Earth team. The ideal candidate will be responsible for conducting in-depth market research, analysing industry trends, and providing insights that will help guide strategic business decisions. &nbsp;&nbsp; Click here to download the full job specification. Please ensure you read this before applying. What we offer you: Career and Professi... ",Data Analyst,662630,,W1G0JD,227,https://www.reed.co.uk/jobs/data-analyst/54554960,11/04/2025,28/02/2025,data analyst,England,51.516534,-0.143089
,,,,Vermelo RPO,54446936,"Job Title: Data Science Analyst Location: Peterborough (hybrid working) &nbsp; We have an exciting opportunity at Markerstudy Distribution (part of Markerstudy Group) for a Data Science Analyst. You will be responsible for providing data science and analytics solutions that helps to shape our strategic roadmaps and customer propositions, working with a variety of teams and stakeholders to embed your findings. Our Data Science and Pricing team pr... ",Data Science Analyst,645147,,PE38BG,265,https://www.reed.co.uk/jobs/data-science-analyst/54446936,21/03/2025,07/02/2025,data analyst,England,52.589479,-0.286274
,,,,Sagacity ,54606079,"Principal responsibilities will involve: Turn large quantities of complex client data into insights which can be used to inform decision making and drive business benefit Are quick to identify incomplete and diverse data sets, pin pointing data issues which may affect the accuracy and completeness of any analysis performed Recognise the importance and value of understanding the data they are analysing, validating the information provided and rec... ",Data Analyst,510736,,EC1N2TD,462,https://www.reed.co.uk/jobs/data-analyst/54606079,25/04/2025,07/03/2025,data analyst,England,51.518068,-0.10852
,GBP,17000.0,19000.0,QA,54636069,"Employer description:&nbsp; Outserve Limited is a UK-based team of experts who offer software implementation, integration, automation, and accounting services for small to medium enterprises. We help clients grow and scale their business with data-driven decisions.&nbsp; Overview:&nbsp; As part of their learning, the Data Analyst Apprentice will be involved with analysing financial data, identifying trends and creating models that present result... ",Data Analyst Apprentice,500373,,ST163EL,15,https://www.reed.co.uk/jobs/data-analyst-apprentice/54636069,23/04/2025,12/03/2025,data analyst,England,52.822227,-2.112738
,GBP,20800.0,20800.0,QA,54500125,"Ringway: Together with our associated companies, Ringway teams are responsible for looking after over 50,000 kms of the UK’s highways network – we deliver specialist highway services across the largest highways maintenance portfolio within the UK, including strategic road network, DBFO motorway and trunk roads, and the local authority network. We are private sector partners, dedicated to delivering public services. We offer best practice mainten... ",Data Analyst Apprentice,500373,,GU47BQ,56,https://www.reed.co.uk/jobs/data-analyst-apprentice/54500125,01/04/2025,18/02/2025,data analyst,England,51.258,-0.531
,GBP,43000.0,53800.0,SGN,54499273,Location: Portsmouth Salary: 43k - 53.8k per annum (Dependent on skills &amp; qualifications) Perks &amp; Benefits: Competitive pension scheme - Enhanced maternity/paternity pay - Life assurance - HolidayPlus - Cycle2work Scheme &amp; more We are looking for…. We are looking for a passionate and innovative Data Insight Analyst who has a deep understanding of both data analytics and business dynamics. We’re all about empowering our business with ... ,Data Insight Analyst ,558777,,Portsmouth,83,https://www.reed.co.uk/jobs/data-insight-analyst/54499273,18/03/2025,18/02/2025,data analyst,England,50.800031,-1.0906023
,,,,Howdens Joinery,54477959,"Join the UK’s leading Trade Kitchen Supplier as a Sustainability Data Analyst based in our Howden in East Riding office of Yorkshire with a blend of home and office working.&nbsp; This is an exciting opportunity to make your mark in this hands-on analytical role.&nbsp; In this role you will provide central oversight of ESG data (primarily climate related emissions) to the Sustainability team, key stakeholders and external organisations who work ... ",Sustainability Data Analyst,493222,,Howden,72,https://www.reed.co.uk/jobs/sustainability-data-analyst/54477959,27/03/2025,13/02/2025,data analyst,England,53.7473189,-0.8622549
,,,,Toyota Financial Services & KINTO UK,54598617,"We are looking for an experienced and technical Data Analyst, with a specific skills set to join our existing data team. We are looking for an individual with Data Engineering skills who has the ability to map business requirements to technical requirements. The individual must have strong SQL, and have proven experience of interrogate raw data through to manipulation. Confident to write in SQL About the department: Data Services is utilised thr... ",Data Analyst - SQL,627855,,KT198AJ,164,https://www.reed.co.uk/jobs/data-analyst-sql/54598617,17/04/2025,06/03/2025,data analyst,England,51.333774,-0.266662
,,,,Dreams Ltd,54588925,"At Dreams, we know your bed is the best place in the whole world. But for the hours between precious sleep, we`d like to make work a special place to be too. We`re the UK`s most loved bed retailer, so it`s important our people feel the love as well. There`s over 250 of us at our affectionally named `Bedquarters` in High Wycombe, Buckinghamshire, where every dreamer makes a difference. We`re super passionate about our people-first culture, which ... ",BI & Data Analyst,404912,,HP109YU,95,https://www.reed.co.uk/jobs/bi-data-analyst/54588925,16/04/2025,05/03/2025,data analyst,England,51.605359,-0.694426
,GBP,550.0,700.0,Calisen Metering,54480660,"Calisen is at the forefront of energy and utility innovation. As we expand our capabilities in managing SMART water meters, we're seeking a highly skilled Senior Data Analyst to lead the design and development of robust processes, systems, and data strategies that support operational excellence. If you're passionate about data, thrive in dynamic environments, and want to shape the future of utilities, this is the opportunity for you. The Role: A... ",Senior Data Analyst - Water,408300,,M21HW,94,https://www.reed.co.uk/jobs/senior-data-analyst-water/54480660,27/03/2025,13/02/2025,data analyst,England,53.481676,-2.242943
,GBP,35000.0,44000.0, Peoples Partnership,54586608,"About People’s Partnership: At the heart of our not-for-profit organisation is a commitment and a motivation to make the future-saving experience a simple one for our members. We champion fairness and simplicity, not profit-chasing. Imagine a financial adventure where everyone's a winner, fueled by our exceptional service and brought to life by the fantastic individuals who work for us. We're a diverse employer with a flexible, hybrid working ap... ",Senior Data Governance Analyst,442552,,RH109AD,28,https://www.reed.co.uk/jobs/senior-data-governance-analyst/54586608,16/04/2025,05/03/2025,data analyst,England,51.130995,-0.181807
,GBP,30000.0,35000.0,DAMICOR,54481153,"Capacity Planning &amp; Data Analyst Location:&nbsp;Heathrow Airport Salary: 35,000pa Working Format:&nbsp;Hybrid working 3 days in the office and 2 days at home Contract Type: Permanent Benefits: 28 days annual leave (plus bank holidays), Medical Cover, Wellbeing membership, Pension Scheme &nbsp; We are seeking a highly motivated and detail-oriented in this role, you will work closely with Data Engineers and Power Platform Developers to drive o... ",Capacity Planning & Data Analyst,655656,,TW61EW,297,https://www.reed.co.uk/jobs/capacity-planning-data-analyst/54481153,16/03/2025,13/02/2025,data analyst,England,51.469706,-0.449579
